Rank,Title,Year,Rating,Runtime,Genre,User Rating,Metacritic
"1,335",The Island at the Top of the World,1974,G,93 min,"Adventure, Family, Fantasy",6.3,
"1,336",Phase IV,1974,PG,84 min,"Horror, Sci-Fi, Thriller",6.5,49
"1,337",Promare,2019,PG-13,111 min,"Animation, Action, Adventure",7.1,76
"1,338",Rock & Rule,1983,PG,77 min,"Animation, Fantasy, Music",6.5,
"1,339",Untitled Alien Prequel,, , ,"Horror, Mystery, Sci-Fi", ,
"1,340",Night Skies,2007,R,85 min,"Horror, Sci-Fi, Thriller",4.6,
"1,341",Beneath,I 2013,Not Rated,90 min,"Horror, Sci-Fi, Thriller",3.5,40
"1,342",My Science Project,1985,PG,94 min,"Action, Adventure, Comedy",6.0,38
"1,343",The Final Level: Escaping Rancala,2019,Not Rated,87 min,"Action, Adventure, Fantasy",3.3,
"1,344",Biggles: Adventures in Time,1986,PG,108 min,"Adventure, Family, Sci-Fi",5.7,
"1,345",Breeders,1986,R,77 min,"Horror, Sci-Fi",3.7,
"1,346",The Last Mimzy,2007,PG,90 min,"Action, Adventure, Drama",6.2,59
"1,347",Dual,2021,R, ,"Sci-Fi, Thriller", ,
"1,348",Vice,2015,R,96 min,"Action, Sci-Fi, Thriller",4.2,17
"1,349",Zashchitniki,2017,Not Rated,89 min,"Action, Adventure, Comedy",4.0,
"1,350",Phantoms,1998,R,96 min,"Horror, Sci-Fi, Thriller",5.4,26
"1,351",Bride of Re-Animator,1990,R,96 min,"Comedy, Horror, Sci-Fi",6.3,54
"1,352",The Coed and the Zombie Stoner,2014,Unrated,91 min,"Comedy, Horror, Sci-Fi",3.6,
"1,353",The Computer Wore Tennis Shoes,1969,G,91 min,"Comedy, Family, Sci-Fi",6.0,54
"1,354",Moonshot,II, , ,"Romance, Sci-Fi", ,
"1,355",Starfish,2018,Not Rated,101 min,"Drama, Sci-Fi, Thriller",5.3,74
"1,356",Avatar 4,2026, , ,"Action, Adventure, Fantasy", ,
"1,357",The Absent Minded Professor,1961,Approved,92 min,"Comedy, Family, Sci-Fi",6.8,75
"1,358",Day the World Ended,1955,Approved,79 min,"Horror, Sci-Fi",5.4,
"1,359",Black Moon,1975,R,100 min,"Fantasy, Horror, Mystery",6.3,
"1,360",A Sound of Thunder,2005,PG-13,110 min,"Action, Adventure, Horror",4.2,24
"1,361",A Writer's Odyssey,2021, ,130 min,"Action, Adventure, Crime",6.3,
"1,362",Apocalypse of Ice,2020,Unrated,89 min,"Adventure, Sci-Fi",2.5,
"1,363",Last and First Men,2020, ,70 min,"Fantasy, Mystery, Sci-Fi",6.7,83
"1,364",The Cured,2017,R,95 min,"Drama, Horror, Sci-Fi",5.6,57
"1,365",Ghost in the Machine,1993,R,95 min,"Horror, Sci-Fi, Thriller",4.6,
"1,366",Joe's Apartment,1996,PG-13,80 min,"Comedy, Fantasy, Musical",5.5,
"1,367",1984,1956,Not Rated,90 min,"Drama, Sci-Fi",7.0,
